XCoord,YCoord,OBJECTID,XCOORD,YCOORD
-73.89956908,40.76049861,1988,-73.899569,40.760499
-73.88056336,40.76049861,1989,-73.880563,40.760499
-73.86155764,40.76049861,1990,-73.861558,40.760499
-73.84255192,40.76049861,1991,-73.842552,40.760499
-73.82354619,40.76049861,1992,-73.823546,40.760499
-73.80454047,40.76049861,1993,-73.804540,40.760499
-73.78553475,40.76049861,1994,-73.785535,40.760499
-73.76652903,40.76049861,1995,-73.766529,40.760499
-73.74752331,40.76049861,1996,-73.747523,40.760499
-73.72851758,40.76049861,1997,-73.728518,40.760499
-73.70951186,40.76049861,1998,-73.709512,40.760499
-74.03260914,40.77513130,1999,-74.032609,40.775131
-74.01360342,40.77513130,2000,-74.013603,40.775131
-73.99459769,40.77513130,2001,-73.994598,40.775131
-73.97559197,40.77513130,2002,-73.975592,40.775131
-73.95658625,40.77513130,2003,-73.956586,40.775131
-73.93758053,40.77513130,2004,-73.937581,40.775131
-73.91857481,40.77513130,2005,-73.918575,40.775131
-73.89956908,40.77513130,2006,-73.899569,40.775131
-73.88056336,40.77513130,2007,-73.880563,40.775131
-73.86155764,40.77513130,2008,-73.861558,40.775131
-73.84255192,40.77513130,2009,-73.842552,40.775131
-73.82354619,40.77513130,2010,-73.823546,40.775131
-73.80454047,40.77513130,2011,-73.804540,40.775131
-73.78553475,40.77513130,2012,-73.785535,40.775131
-73.76652903,40.77513130,2013,-73.766529,40.775131
-73.74752331,40.77513130,2014,-73.747523,40.775131
-73.72851758,40.77513130,2015,-73.728518,40.775131
-73.70951186,40.77513130,2016,-73.709512,40.775131
-74.03260914,40.78976398,2017,-74.032609,40.789764
-74.01360342,40.78976398,2018,-74.013603,40.789764
-73.99459769,40.78976398,2019,-73.994598,40.789764
-73.97559197,40.78976398,2020,-73.975592,40.789764
-73.95658625,40.78976398,2021,-73.956586,40.789764
-73.93758053,40.78976398,2022,-73.937581,40.789764
-73.91857481,40.78976398,2023,-73.918575,40.789764
-73.89956908,40.78976398,2024,-73.899569,40.789764
-73.88056336,40.78976398,2025,-73.880563,40.789764
-73.86155764,40.78976398,2026,-73.861558,40.789764
-73.84255192,40.78976398,2027,-73.842552,40.789764
-73.82354619,40.78976398,2028,-73.823546,40.789764
-73.80454047,40.78976398,2029,-73.804540,40.789764
-73.78553475,40.78976398,2030,-73.785535,40.789764
-73.76652903,40.78976398,2031,-73.766529,40.789764
-73.74752331,40.78976398,2032,-73.747523,40.789764
-73.72851758,40.78976398,2033,-73.728518,40.789764
-73.70951186,40.78976398,2034,-73.709512,40.789764
-74.03260914,40.80439666,2035,-74.032609,40.804397
-74.01360342,40.80439666,2036,-74.013603,40.804397
-73.99459769,40.80439666,2037,-73.994598,40.804397
-73.97559197,40.80439666,2038,-73.975592,40.804397
-73.95658625,40.80439666,2039,-73.956586,40.804397
-73.93758053,40.80439666,2040,-73.937581,40.804397
-73.91857481,40.80439666,2041,-73.918575,40.804397
-73.89956908,40.80439666,2042,-73.899569,40.804397
-73.88056336,40.80439666,2043,-73.880563,40.804397
-73.86155764,40.80439666,2044,-73.861558,40.804397
-73.84255192,40.80439666,2045,-73.842552,40.804397
-73.82354619,40.80439666,2046,-73.823546,40.804397
-73.80454047,40.80439666,2047,-73.804540,40.804397
-73.78553475,40.80439666,2048,-73.785535,40.804397
-73.76652903,40.80439666,2049,-73.766529,40.804397
-73.74752331,40.80439666,2050,-73.747523,40.804397
-73.72851758,40.80439666,2051,-73.728518,40.804397
-73.70951186,40.80439666,2052,-73.709512,40.804397
-74.24973404,40.49920063,2053,-74.249734,40.499201
-74.24973404,40.51373504,2054,-74.249734,40.513735
-74.23102212,40.51373504,2055,-74.231022,40.513735
-74.21231021,40.51373504,2056,-74.212310,40.513735
-74.19359829,40.51373504,2057,-74.193598,40.513735
-74.24973404,40.52826946,2058,-74.249734,40.528269
-74.23102212,40.52826946,2059,-74.231022,40.528269
-74.21231021,40.52826946,2060,-74.212310,40.528269
-74.19359829,40.52826946,2061,-74.193598,40.528269
-74.17488637,40.52826946,2062,-74.174886,40.528269
-74.24973404,40.54280387,2063,-74.249734,40.542804
-74.23102212,40.54280387,2064,-74.231022,40.542804
-74.21231021,40.54280387,2065,-74.212310,40.542804
